TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20221221,2022,6,4,5
20221222,2022,6,4,5
20221223,2022,6,4,5
20221224,2022,6,4,5
20221225,2022,6,4,5
20221226,2022,6,4,5
20221227,2022,6,4,5
20221228,2022,6,4,5
20221229,2022,6,4,5
20221230,2022,6,4,5
20221231,2022,6,4,5
