GAS_ZONES,TIMESERIES,gas_demand_ref_quantity,gas_ref_price
AL,20220319,1674726.3907919,4.97416658965094
AL,20220320,1934134.64879706,4.97597878730852
AL,20220321,1840857.83399768,4.9777909849661
AL,20220322,1758401.88441258,5.25593552793288
AL,20220323,1616961.92248239,5.56964518251894
AL,20220324,1755352.1845721,5.53567921626869
AL,20220325,1735043.83906194,5.91993505147144
AL,20220326,1777805.32586848,5.96716870385238
AL,20220327,1804941.3029185,6.01440235623332
AL,20220328,1822943.16991021,6.06163600861426
AL,20220329,1730123.50859692,5.88469888556117
AL,20220330,1693413.34924035,5.92769834483402
AL,20220331,1741486.51307457,6.12814407565307
AL,20220401,1800982.93319701,6.13900559205544
AL,20220402,1787617.91135127,6.29589450024518
AL,20220403,1724558.01740294,6.45278340843492
AL,20220404,1754470.80296786,6.60967231662465
AL,20220405,1750888.22480919,6.92568591471197
AL,20220406,1540365.66650041,7.37493862383035
AL,20220407,1750001.60850507,7.14537606459848
AL,20220408,1716763.72266337,7.59018495818218
AL,20220409,1949013.77909436,7.63389558544083
AL,20220410,1895747.74434262,7.67760621269948
AL,20220411,1770143.39660187,7.72131683995813
AL,20220412,1517715.04485915,8.07170122410287
AL,20220413,1685632.8064374,8.24172564604552
AL,20220414,1680160.70976655,8.6250813847172
AL,20220415,1688553.67299237,8.8105656249783
AL,20220416,1717845.85984146,8.99604986523941
AL,20220417,1538669.82360377,9.18153410550051
AL,20220418,1521710.72263905,9.36701834576161
AL,20220419,1768107.00034128,9.32742034534271
AL,20220420,1718401.34018487,8.93629430252715
AL,20220421,1615275.99355922,8.64479660312524
AL,20220422,1650225.75574178,8.28973492025567
AL,20220423,1701858.28628167,8.22755944500272
AL,20220424,1706276.04234585,8.16538396974977
AL,20220425,1719544.78180165,8.10320849449683
AL,20220426,1750293.50941101,8.70623042683394
AL,20220427,1643405.73117351,8.74133871100674
AL,20220428,1669836.53425594,8.82717346045604
AL,20220429,1673118.71731669,8.67229378275742
AL,20220430,1675004.58954756,8.87714153705803
AL,20220501,1727332.60038572,9.08198929135863
AL,20220502,1721036.2777383,9.28683704565924
AL,20220503,1801693.50258799,9.9850463990783
AL,20220504,1837727.93699163,10.5828147080953
AL,20220505,1868396.94458277,10.747916461263
AL,20220506,1963032.35382508,10.6705737703193
AL,20220507,1621328.06132752,10.5586624687925
AL,20220508,1589180.06399378,10.4467511672656
AL,20220509,1607739.22477552,10.3348398657387
AL,20220510,1624995.51738197,8.70337252260275
AL,20220511,1700492.17367829,9.6770289282135
AL,20220512,1865192.85051583,9.32769355365389
AL,20220513,1878508.97777464,9.98222100858907
AL,20220514,1729723.58968544,10.0381779213893
AL,20220515,1835053.09651549,10.0941348341895
AL,20220516,1880461.38460224,10.1500917469897
AL,20220517,1826957.60741247,10.1220617510926
AL,20220518,1841527.77133918,10.1842838039261
AL,20220519,2013329.32706856,9.55030345064599
AL,20220520,2230422.50703471,9.03285236526354
AL,20220521,2245410.80943063,8.8730076449948
AL,20220522,2072291.85467058,8.71316292472605
AL,20220523,1918816.8257632,8.5533182044573
AL,20220524,1669341.76807013,9.05859340004569
AL,20220525,1799790.6098247,9.39294635908948
AL,20220526,1649127.40341908,8.90918721770482
AL,20220527,1527232.55382223,7.8395912072391
AL,20220528,1597064.35167577,7.67979471549869
AL,20220529,1646504.41324733,7.51999822375827
AL,20220530,1848094.65034822,7.36020173201786
AL,20220531,2010897.69746248,7.20040524027745
AL,20220601,2035502.95367689,7.02364999352529
AL,20220602,2150468.75601156,7.19055408652652
AL,20220603,2104771.00112515,6.5649485325478
AL,20220604,1752079.24598608,6.58011071779157
AL,20220605,1865581.31921676,6.59527290303533
AL,20220606,1949928.79252002,6.6104350882791
AL,20220607,2111583.72631043,6.58241403357722
AL,20220608,2190384.96782358,6.5169135568065
AL,20220609,2131904.58035963,5.49431429423617
AL,20220610,1885744.62863776,5.75984708055026
AL,20220611,1820576.58080593,5.66008976302299
AL,20220612,2019825.19024177,5.56033244549573
AL,20220613,2396583.12795319,5.46057512796847
AL,20220614,2738365.40232037,4.53994187935181
AL,20220615,2593091.81481115,4.55317925752452
AL,20220616,2549612.11574261,4.74901028638522
AL,20220617,2621089.64695142,4.53862007997597
AL,20220618,2478580.10147596,4.51175683608286
AL,20220619,2183243.75650934,4.48489359218975
AL,20220620,2079622.51135392,4.45803034829664
AL,20220621,2225175.0594325,4.43116710440353
