gas_line_gz1,gas_line_gz2,gas_line_predet_build_year,gas_line_predet_cap,gas_line_removed_cap
WY,ID,2022,0,0
WY,MT,1990,162809,0
WY,MT,1994,116144,0
WY,MT,1998,54961,0
WY,MT,2000,41480,0
WY,MT,2003,97478,0
WY,MT,2008,42517,0
WY,MT,2011,494649,0
WY,MT,2022,0,0
WY,NE,1990,543388,0
WY,NE,1994,0,17629
WY,NE,1997,373320,0
WY,NE,2002,335988,0
WY,NE,2008,1555500,0
WY,NE,2009,311100,0
WY,NE,2014,0,264435
WY,NE,2022,0,0
WY,SD,1990,26962,0
WY,SD,1994,1037,0
WY,SD,2022,0,0
WY,UT,1990,1535797,0
WY,UT,1994,860710,0
WY,UT,1996,21777,0
WY,UT,1998,138958,0
WY,UT,2001,181475,0
WY,UT,2003,1370914,0
WY,UT,2010,150365,0
WY,UT,2011,1831342,0
WY,UT,2017,0,51850
WY,UT,2022,0,0
