GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap
PA,depleted field,2006,733758.334526122,0
PA,depleted field,2007,5413648.06083423,0
PA,depleted field,2008,0,6993156.81413239
PA,depleted field,2009,12568440,0
PA,depleted field,2010,0,52887
PA,depleted field,2011,2098888,0
PA,depleted field,2012,130662,0
PA,depleted field,2013,0,995520
PA,depleted field,2015,0,3544466
PA,depleted field,2016,0,3562095
PA,depleted field,2017,1348100,0
PA,depleted field,2022,25925,1410320
PA,salt cavern,2022,0,0
RI,aquifer,2022,0,0
RI,depleted field,2022,0,0
RI,salt cavern,2022,0,0
SC,aquifer,2022,0,0
SC,depleted field,2022,0,0
SC,salt cavern,2022,0,0
SD,aquifer,2022,0,0
SD,depleted field,2022,0,0
SD,salt cavern,2022,0,0
TN,aquifer,2022,0,0
TN,depleted field,1999,933300,0
TN,depleted field,2008,0,41480
TN,depleted field,2015,974780,0
TN,depleted field,2022,0,0
TN,salt cavern,2022,0,0
TX,aquifer,2022,0,0
TX,depleted field,1999,382031648.437037,0
TX,depleted field,2000,11024711.3245767,0
TX,depleted field,2001,6597672.84534812,0
TX,depleted field,2002,0,12284207.0707537
TX,depleted field,2003,0,25524416.9367983
TX,depleted field,2004,6356857.78649294,0
TX,depleted field,2005,1027917.4293052,0
TX,depleted field,2006,2901656.51738411,0
TX,depleted field,2007,1291164.57583463,0
TX,depleted field,2008,17755172.0915729,0
TX,depleted field,2009,3772606,0
TX,depleted field,2010,0,1575203
TX,depleted field,2011,927078,0
TX,depleted field,2012,0,11756469
TX,depleted field,2013,4273477,0
TX,depleted field,2014,0,12526960
TX,depleted field,2015,6434585,0
TX,depleted field,2016,10314002,0
TX,depleted field,2022,2975153,1037000
TX,salt cavern,1999,71928189.7273984,0
TX,salt cavern,2000,0,1103000.11437161
TX,salt cavern,2001,9298571.3299599,0
TX,salt cavern,2002,0,3304213.60982248
TX,salt cavern,2003,1237028.64655812,0
TX,salt cavern,2004,1345755.87419923,0
TX,salt cavern,2005,2969826.098398,0
TX,salt cavern,2006,3806820.6055219,0
TX,salt cavern,2007,0,916317.515968993
TX,salt cavern,2008,28449573.9581276,0
TX,salt cavern,2009,14527333,0
TX,salt cavern,2010,7214409,0
TX,salt cavern,2011,22275797,0
TX,salt cavern,2012,12793469,0
TX,salt cavern,2013,3841048,0
TX,salt cavern,2014,0,619089
TX,salt cavern,2015,0,154513
