GAS_ZONES,gas_storage_predet_build_year,gas_storage_type,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
LA,2012,salt cavern,92140561,0,208127974
LA,2013,depleted field,83582200,0,303198060
LA,2013,salt cavern,0,48084653,160043321
LA,2014,depleted field,518500,0,303716560
LA,2014,salt cavern,7183299,0,167226620
LA,2015,depleted field,0,518500,303198060
LA,2015,salt cavern,4033930,0,171260550
LA,2016,depleted field,621163,0,303819223
LA,2016,salt cavern,0,3500912,167759638
LA,2017,salt cavern,2280363,0,170040001
LA,2022,depleted field,8847684,0,312666907
LA,2022,salt cavern,6574580,18354900,165840151
MD,1999,depleted field,18384065.625,0,18384065.625
MD,2006,depleted field,593034.375,0,18977100
MD,2008,depleted field,0,1037000,17940100
MD,2009,depleted field,1037000,0,18977100
MI,1999,aquifer,10320224,0,10320224
MI,1999,depleted field,686749917.519626,0,686749917.519626
MI,1999,salt cavern,2168717.5491758,0,2168717.5491758
MI,2000,depleted field,0,650397.844125867,686099519.675501
MI,2001,aquifer,0,10320224,0
MI,2001,depleted field,21249861.945961,0,707349381.621462
MI,2001,salt cavern,27459.5163823445,0,2196177.06555815
MI,2002,depleted field,0,24717105.0355729,682632276.585889
MI,2003,depleted field,0,4080551.03631294,678551725.549576
MI,2003,salt cavern,44986.8672646922,0,2241163.93282284
MI,2004,depleted field,0,12109851.5091618,666441874.040414
MI,2004,salt cavern,0,14606.1257352899,2226557.80708755
MI,2005,depleted field,7661050.77698946,0,674102924.817403
MI,2005,salt cavern,12269.1456176434,0,2238826.95270519
MI,2006,depleted field,6398669.6253562,0,680501594.44276
MI,2006,salt cavern,3505.47017646953,0,2242332.42288166
MI,2007,depleted field,19376159.8064171,0,699877754.249177
MI,2007,salt cavern,7595.18538235035,0,2249927.60826401
MI,2008,depleted field,0,14739113.2491766,685138641
MI,2008,salt cavern,0,16229.6082640123,2233698
MI,2009,depleted field,3933341,0,689071982
MI,2009,salt cavern,0,4148,2229550
MI,2010,depleted field,435540,0,689507522
MI,2010,salt cavern,9333,0,2238883
MI,2011,depleted field,5772979,0,695280501
MI,2012,depleted field,589016,0,695869517
MI,2013,depleted field,1832379,0,697701896
MI,2014,depleted field,37332,0,697739228
MI,2015,depleted field,11119751,0,708858979
MI,2017,depleted field,0,18666,708840313
MI,2017,salt cavern,1037,0,2239920
MI,2022,depleted field,0,1979633,706881420
MI,2022,salt cavern,1037,0,2240957
MN,1999,aquifer,2074000,0,2074000
MO,1999,aquifer,8563701.64362586,0,8563701.64362586
MO,2000,aquifer,165671.329721922,0,8729372.97334778
MO,2001,aquifer,30943.570675334,0,8760316.54402311
MO,2002,aquifer,29300.5492235459,0,8789617.09324666
MO,2003,aquifer,0,4929.06435536221,8784688.0288913
MO,2004,aquifer,0,20811.6050559767,8763876.42383532
MO,2005,aquifer,38884.8410256412,0,8802761.26486096
MO,2006,aquifer,98307.450198628,0,8901068.71505959
MO,2007,aquifer,119119.055254603,0,9020187.77031419
MO,2008,aquifer,2673024.22968581,0,11693212
MO,2009,aquifer,0,8540732,3152480
MO,2010,aquifer,638792,0,3791272
MO,2011,aquifer,2430728,0,6222000
MO,2017,aquifer,0,2430728,3791272
MS,1999,depleted field,49884959.6778984,0,49884959.6778984
MS,1999,salt cavern,23553579.6220787,0,23553579.6220787
MS,2001,depleted field,182336.95481468,0,50067296.6327131
MS,2001,salt cavern,7796964.32089692,0,31350543.9429756
MS,2003,salt cavern,0,674737.297000695,30675806.6459749
MS,2004,depleted field,1166956.51081394,0,51234253.1435271
MS,2005,salt cavern,3493639.78224804,0,34169446.428223
MS,2006,depleted field,27715.2171318308,0,51261968.3606589
MS,2006,salt cavern,0,145443.372909039,34024003.0553139
MS,2007,depleted field,7828333.26004352,0,59090301.6207024
MS,2008,depleted field,0,3984121.62070242,55106180
MS,2008,salt cavern,10869800.9446861,0,44893804
MS,2009,depleted field,12526960,0,67633140
MS,2009,salt cavern,483242,0,45377046
MS,2010,depleted field,5288700,0,72921840
MS,2010,salt cavern,13657290,0,59034336
MS,2011,depleted field,0,2240957,70680883
MS,2011,salt cavern,6226148,0,65260484
MS,2012,salt cavern,38898907,0,104159391
